Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
Canada,Russia,1976,469,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1976,13,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1976,95,,"(-106.346771, 56.130366)"
Canada,Vietnam,1976,2309,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Netherlands,Various/unknown,1976,25,,"(5.291266, 52.132633)"
Australia,Various/unknown,1977,8124,,"(133.775136, -25.274398)"
Belgium,Various/unknown,1977,19,,"(4.469936, 50.503887)"
Canada,Czech Republic,1977,56,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Laos,1977,27,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1977,256,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1977,15,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Tanzania,1977,1,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,Various/unknown,1977,117,,"(-106.346771, 56.130366)"
Canada,Vietnam,1977,786,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Australia,Various/unknown,1978,9597,,"(133.775136, -25.274398)"
Belgium,Various/unknown,1978,25,,"(4.469936, 50.503887)"
Canada,Czech Republic,1978,74,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Laos,1978,121,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1978,131,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1978,2,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Tanzania,1978,1,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,Various/unknown,1978,257,,"(-106.346771, 56.130366)"
Canada,Vietnam,1978,955,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Finland,Various/unknown,1978,1,,"(25.748151, 61.92411)"
Netherlands,Vietnam,1978,322,"(108.277199, 14.058324)","(5.291266, 52.132633)"
Australia,Various/unknown,1979,13450,,"(133.775136, -25.274398)"
Canada,Czech Republic,1979,286,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Laos,1979,3929,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1979,1140,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1979,4,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1979,657,,"(-106.346771, 56.130366)"
Canada,Vietnam,1979,19764,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Finland,Various/unknown,1979,101,,"(25.748151, 61.92411)"
Ireland,Vietnam,1979,212,"(108.277199, 14.058324)","(-8.24389, 53.41291)"
Netherlands,Various/unknown,1979,2234,,"(5.291266, 52.132633)"
United Kingdom,Various/unknown,1979,2900,,"(-3.435973, 55.378051)"
Australia,Various/unknown,1980,19954,,"(133.775136, -25.274398)"
Canada,Czech Republic,1980,1016,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Iran,1980,11,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1980,6304,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1980,1915,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1980,2,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1980,1165,,"(-106.346771, 56.130366)"
Canada,Vietnam,1980,25319,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Russia,1980,33,"(105.318756, 61.52401)","(9.501785, 56.26392)"
Denmark,Tanzania,1980,4,"(34.888822, -6.369028)","(9.501785, 56.26392)"
Denmark,Vietnam,1980,267,"(108.277199, 14.058324)","(9.501785, 56.26392)"
Finland,Various/unknown,1980,15,,"(25.748151, 61.92411)"
Netherlands,Various/unknown,1980,1435,,"(5.291266, 52.132633)"
New Zealand,Laos,1980,6,"(102.495496, 19.85627)","(174.885971, -40.900557)"
New Zealand,Vietnam,1980,622,"(108.277199, 14.058324)","(174.885971, -40.900557)"
United Kingdom,Various/unknown,1980,6850,,"(-3.435973, 55.378051)"
Australia,Various/unknown,1981,21847,,"(133.775136, -25.274398)"
Canada,Czech Republic,1981,969,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Iran,1981,7,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1981,855,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1981,713,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Various/unknown,1981,601,,"(-106.346771, 56.130366)"
Canada,Vietnam,1981,6605,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Bolivia,1981,10,"(-63.588653, -16.290154)","(9.501785, 56.26392)"
Denmark,Czech Republic,1981,5,"(15.472962, 49.817492)","(9.501785, 56.26392)"
Denmark,Russia,1981,16,"(105.318756, 61.52401)","(9.501785, 56.26392)"
Denmark,Vietnam,1981,214,"(108.277199, 14.058324)","(9.501785, 56.26392)"
Finland,Various/unknown,1981,2,,"(25.748151, 61.92411)"
Netherlands,Various/unknown,1981,1135,,"(5.291266, 52.132633)"
New Zealand,Laos,1981,152,"(102.495496, 19.85627)","(174.885971, -40.900557)"
New Zealand,Vietnam,1981,852,"(108.277199, 14.058324)","(174.885971, -40.900557)"
United Kingdom,Various/unknown,1981,2750,,"(-3.435973, 55.378051)"
Australia,Various/unknown,1982,21917,,"(133.775136, -25.274398)"
Canada,Czech Republic,1982,750,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Iran,1982,279,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1982,356,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1982,171,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1982,3,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1982,1284,,"(-106.346771, 56.130366)"
Canada,Vietnam,1982,3774,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Bolivia,1982,10,"(-63.588653, -16.290154)","(9.501785, 56.26392)"
Denmark,Congo [DRC],1982,2,"(21.758664, -4.038333)","(9.501785, 56.26392)"
Denmark,Iran,1982,4,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Russia,1982,9,"(105.318756, 61.52401)","(9.501785, 56.26392)"
Denmark,Vietnam,1982,204,"(108.277199, 14.058324)","(9.501785, 56.26392)"
Finland,Various/unknown,1982,10,,"(25.748151, 61.92411)"
Netherlands,Vietnam,1982,510,"(108.277199, 14.058324)","(5.291266, 52.132633)"
New Zealand,Laos,1982,67,"(102.495496, 19.85627)","(174.885971, -40.900557)"
New Zealand,Vietnam,1982,256,"(108.277199, 14.058324)","(174.885971, -40.900557)"
United Kingdom,Various/unknown,1982,807,,"(-3.435973, 55.378051)"
United States,Afghanistan,1982,4300,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Albania,1982,14,"(20.168331, 41.153332)","(-95.712891, 37.09024)"
United States,Angola,1982,120,"(17.873887, -11.202692)","(-95.712891, 37.09024)"
United States,Argentina,1982,2,"(-63.616672, -38.416097)","(-95.712891, 37.09024)"
United States,Bulgaria,1982,122,"(25.48583, 42.733883)","(-95.712891, 37.09024)"
United States,Cambodia,1982,20234,"(104.990963, 12.565679)","(-95.712891, 37.09024)"
United States,Cuba,1982,600,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,Czech Republic,1982,736,"(15.472962, 49.817492)","(-95.712891, 37.09024)"
United States,Congo [DRC],1982,10,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,Ethiopia,1982,3186,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Hungary,1982,386,"(19.503304, 47.162494)","(-95.712891, 37.09024)"
United States,Iraq,1982,2032,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Laos,1982,9437,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Mozambique,1982,3,"(35.529562, -18.665695)","(-95.712891, 37.09024)"
United States,Namibia,1982,1,"(18.49041, -22.95764)","(-95.712891, 37.09024)"
United States,Poland,1982,6647,"(19.145136, 51.919438)","(-95.712891, 37.09024)"
United States,Romania,1982,2871,"(24.96676, 45.943161)","(-95.712891, 37.09024)"
United States,Russia,1982,2756,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Serbia,1982,4,"(21.005859, 44.016521)","(-95.712891, 37.09024)"
United States,South Africa,1982,6,"(22.937506, -30.559482)","(-95.712891, 37.09024)"
United States,Syria,1982,37,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Vietnam,1982,43851,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
Australia,Various/unknown,1983,17054,,"(133.775136, -25.274398)"
Canada,Czech Republic,1983,1109,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Iran,1983,536,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1983,429,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1983,98,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1983,53,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1983,859,,"(-106.346771, 56.130366)"
Canada,Vietnam,1983,3066,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Various/unknown,1983,491,,"(9.501785, 56.26392)"
Finland,Various/unknown,1983,138,,"(25.748151, 61.92411)"
Netherlands,Various/unknown,1983,409,,"(5.291266, 52.132633)"
New Zealand,Laos,1983,20,"(102.495496, 19.85627)","(174.885971, -40.900557)"
New Zealand,Vietnam,1983,131,"(108.277199, 14.058324)","(174.885971, -40.900557)"
Norway,Various/unknown,1983,879,,"(8.468946, 60.472024)"
Sweden,Various/unknown,1983,929,,"(18.643501, 60.128161)"
United Kingdom,Various/unknown,1983,1222,,"(-3.435973, 55.378051)"
United States,Afghanistan,1983,2926,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Albania,1983,70,"(20.168331, 41.153332)","(-95.712891, 37.09024)"
United States,Angola,1983,10,"(17.873887, -11.202692)","(-95.712891, 37.09024)"
United States,Argentina,1983,2,"(-63.616672, -38.416097)","(-95.712891, 37.09024)"
United States,Bulgaria,1983,140,"(25.48583, 42.733883)","(-95.712891, 37.09024)"
United States,Cambodia,1983,13115,"(104.990963, 12.565679)","(-95.712891, 37.09024)"
United States,Cuba,1983,666,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,Czech Republic,1983,1335,"(15.472962, 49.817492)","(-95.712891, 37.09024)"
United States,Congo [DRC],1983,11,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,Ethiopia,1983,2604,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Hungary,1983,662,"(19.503304, 47.162494)","(-95.712891, 37.09024)"
United States,Iran,1983,947,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,1983,1583,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Laos,1983,2834,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Mozambique,1983,11,"(35.529562, -18.665695)","(-95.712891, 37.09024)"
United States,Namibia,1983,2,"(18.49041, -22.95764)","(-95.712891, 37.09024)"
United States,Poland,1983,5868,"(19.145136, 51.919438)","(-95.712891, 37.09024)"
United States,Romania,1983,4003,"(24.96676, 45.943161)","(-95.712891, 37.09024)"
United States,Russia,1983,1409,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Serbia,1983,5,"(21.005859, 44.016521)","(-95.712891, 37.09024)"
United States,South Africa,1983,9,"(22.937506, -30.559482)","(-95.712891, 37.09024)"
United States,Syria,1983,9,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Various/unknown,1983,1,,"(-95.712891, 37.09024)"
United States,Vietnam,1983,25487,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
Australia,Various/unknown,1984,14769,,"(133.775136, -25.274398)"
Belgium,Various/unknown,1984,83,,"(4.469936, 50.503887)"
Canada,Czech Republic,1984,754,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Iran,1984,611,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1984,871,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1984,23,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1984,2,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1984,901,,"(-106.346771, 56.130366)"
Canada,Vietnam,1984,3475,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Various/unknown,1984,277,,"(9.501785, 56.26392)"
Finland,Various/unknown,1984,61,,"(25.748151, 61.92411)"
Netherlands,Various/unknown,1984,477,,"(5.291266, 52.132633)"
New Zealand,Laos,1984,63,"(102.495496, 19.85627)","(174.885971, -40.900557)"
New Zealand,Vietnam,1984,68,"(108.277199, 14.058324)","(174.885971, -40.900557)"
Norway,Various/unknown,1984,668,,"(8.468946, 60.472024)"
Sweden,Czech Republic,1984,44,"(15.472962, 49.817492)","(18.643501, 60.128161)"
Sweden,Iran,1984,127,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Various/unknown,1984,52,,"(18.643501, 60.128161)"
Sweden,Vietnam,1984,76,"(108.277199, 14.058324)","(18.643501, 60.128161)"
United Kingdom,Various/unknown,1984,803,,"(-3.435973, 55.378051)"
United States,Afghanistan,1984,2128,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Albania,1984,46,"(20.168331, 41.153332)","(-95.712891, 37.09024)"
United States,Angola,1984,81,"(17.873887, -11.202692)","(-95.712891, 37.09024)"
United States,Bulgaria,1984,127,"(25.48583, 42.733883)","(-95.712891, 37.09024)"
United States,Cambodia,1984,19851,"(104.990963, 12.565679)","(-95.712891, 37.09024)"
United States,Cuba,1984,67,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,Czech Republic,1984,853,"(15.472962, 49.817492)","(-95.712891, 37.09024)"
United States,Congo [DRC],1984,36,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,El Salvador,1984,93,"(-88.89653, 13.794185)","(-95.712891, 37.09024)"
United States,Ethiopia,1984,2533,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Hungary,1984,549,"(19.503304, 47.162494)","(-95.712891, 37.09024)"
United States,Iran,1984,2917,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,1984,195,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Laos,1984,7291,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Mozambique,1984,26,"(35.529562, -18.665695)","(-95.712891, 37.09024)"
United States,Namibia,1984,22,"(18.49041, -22.95764)","(-95.712891, 37.09024)"
United States,Poland,1984,4331,"(19.145136, 51.919438)","(-95.712891, 37.09024)"
United States,Romania,1984,4371,"(24.96676, 45.943161)","(-95.712891, 37.09024)"
United States,Russia,1984,715,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Serbia,1984,8,"(21.005859, 44.016521)","(-95.712891, 37.09024)"
United States,South Africa,1984,14,"(22.937506, -30.559482)","(-95.712891, 37.09024)"
United States,Syria,1984,6,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Uganda,1984,2,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Various/unknown,1984,33,,"(-95.712891, 37.09024)"
United States,Vietnam,1984,24818,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
Australia,Various/unknown,1985,14850,,"(133.775136, -25.274398)"
Canada,Czech Republic,1985,748,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Iran,1985,511,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1985,358,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1985,37,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1985,5,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1985,386,,"(-106.346771, 56.130366)"
Canada,Vietnam,1985,4307,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Various/unknown,1985,281,,"(9.501785, 56.26392)"
Finland,Various/unknown,1985,10,,"(25.748151, 61.92411)"
Netherlands,Various/unknown,1985,438,,"(5.291266, 52.132633)"
New Zealand,Laos,1985,79,"(102.495496, 19.85627)","(174.885971, -40.900557)"
New Zealand,Vietnam,1985,141,"(108.277199, 14.058324)","(174.885971, -40.900557)"
Norway,Various/unknown,1985,774,,"(8.468946, 60.472024)"
Sweden,Czech Republic,1985,18,"(15.472962, 49.817492)","(18.643501, 60.128161)"
Sweden,Iran,1985,179,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Various/unknown,1985,6,,"(18.643501, 60.128161)"
Sweden,Vietnam,1985,48,"(108.277199, 14.058324)","(18.643501, 60.128161)"
United Kingdom,Various/unknown,1985,529,,"(-3.435973, 55.378051)"
United States,Afghanistan,1985,2234,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Albania,1985,45,"(20.168331, 41.153332)","(-95.712891, 37.09024)"
United States,Angola,1985,75,"(17.873887, -11.202692)","(-95.712891, 37.09024)"
United States,Bulgaria,1985,130,"(25.48583, 42.733883)","(-95.712891, 37.09024)"
United States,Cambodia,1985,19097,"(104.990963, 12.565679)","(-95.712891, 37.09024)"
United States,Cuba,1985,135,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,Czech Republic,1985,981,"(15.472962, 49.817492)","(-95.712891, 37.09024)"
United States,Congo [DRC],1985,12,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,Ethiopia,1985,1788,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Hungary,1985,530,"(19.503304, 47.162494)","(-95.712891, 37.09024)"
United States,Iran,1985,3492,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,1985,264,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Laos,1985,5416,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Mozambique,1985,7,"(35.529562, -18.665695)","(-95.712891, 37.09024)"
United States,Namibia,1985,12,"(18.49041, -22.95764)","(-95.712891, 37.09024)"
United States,Nicaragua,1985,3,"(-85.207229, 12.865416)","(-95.712891, 37.09024)"
United States,Poland,1985,3145,"(19.145136, 51.919438)","(-95.712891, 37.09024)"
United States,Romania,1985,4513,"(24.96676, 45.943161)","(-95.712891, 37.09024)"
United States,Russia,1985,640,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Serbia,1985,6,"(21.005859, 44.016521)","(-95.712891, 37.09024)"
United States,South Africa,1985,29,"(22.937506, -30.559482)","(-95.712891, 37.09024)"
United States,Syria,1985,4,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Uganda,1985,8,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Various/unknown,1985,22,,"(-95.712891, 37.09024)"
United States,Vietnam,1985,25457,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
Australia,Various/unknown,1986,11840,,"(133.775136, -25.274398)"
Canada,Czech Republic,1986,693,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Iran,1986,509,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1986,617,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1986,38,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Various/unknown,1986,503,,"(-106.346771, 56.130366)"
Canada,Vietnam,1986,3913,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Congo [DRC],1986,10,"(21.758664, -4.038333)","(9.501785, 56.26392)"
Denmark,Iran,1986,40,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Palestinian Territories,1986,13,"(35.233154, 31.952162)","(9.501785, 56.26392)"
Denmark,Russia,1986,1,"(105.318756, 61.52401)","(9.501785, 56.26392)"
Denmark,Various/unknown,1986,118,,"(9.501785, 56.26392)"
Denmark,Vietnam,1986,136,"(108.277199, 14.058324)","(9.501785, 56.26392)"
Finland,Various/unknown,1986,124,,"(25.748151, 61.92411)"
Netherlands,Various/unknown,1986,370,,"(5.291266, 52.132633)"
New Zealand,Laos,1986,139,"(102.495496, 19.85627)","(174.885971, -40.900557)"
New Zealand,Vietnam,1986,124,"(108.277199, 14.058324)","(174.885971, -40.900557)"
Norway,Various/unknown,1986,843,,"(8.468946, 60.472024)"
